Date,Forecast,Quarter
4/1/1960,0.009517025,Q2 1960
7/1/1960,0.008830698,Q3 1960
10/1/1960,0.008589153,Q4 1960
1/1/1961,0.008014,Q1 1961
4/1/1961,0.007507947,Q2 1961
7/1/1961,0.009543355,Q3 1961
10/1/1961,0.009667256,Q4 1961
1/1/1962,0.009148272,Q1 1962
4/1/1962,0.010328628,Q2 1962
7/1/1962,0.009484707,Q3 1962
10/1/1962,0.007577784,Q4 1962
1/1/1963,0.008306607,Q1 1963
4/1/1963,0.008944653,Q2 1963
7/1/1963,0.008276535,Q3 1963
10/1/1963,0.008837473,Q4 1963
1/1/1964,0.009852676,Q1 1964
4/1/1964,0.010882789,Q2 1964
7/1/1964,0.010592728,Q3 1964
10/1/1964,0.009277207,Q4 1964
1/1/1965,0.009082771,Q1 1965
4/1/1965,0.008518643,Q2 1965
7/1/1965,0.012415805,Q3 1965
10/1/1965,0.012850068,Q4 1965
1/1/1966,0.012071847,Q1 1966
4/1/1966,0.009675907,Q2 1966
7/1/1966,0.009658824,Q3 1966
10/1/1966,0.008877869,Q4 1966
1/1/1967,0.008994715,Q1 1967
4/1/1967,0.011533864,Q2 1967
7/1/1967,0.00868082,Q3 1967
10/1/1967,0.008760345,Q4 1967
1/1/1968,0.008884335,Q1 1968
4/1/1968,0.010791104,Q2 1968
7/1/1968,0.009801888,Q3 1968
10/1/1968,0.008324689,Q4 1968
1/1/1969,0.008045415,Q1 1969
4/1/1969,0.005827218,Q2 1969
7/1/1969,0.010914824,Q3 1969
10/1/1969,0.00865259,Q4 1969
1/1/1970,0.007006799,Q1 1970
4/1/1970,0.006572853,Q2 1970
7/1/1970,0.008275733,Q3 1970
10/1/1970,0.006988476,Q4 1970
1/1/1971,0.004531087,Q1 1971
4/1/1971,0.00818425,Q2 1971
7/1/1971,0.007876501,Q3 1971
10/1/1971,0.005901144,Q4 1971
1/1/1972,0.006395678,Q1 1972
4/1/1972,0.010620711,Q2 1972
7/1/1972,0.00807287,Q3 1972
10/1/1972,0.008308379,Q4 1972
1/1/1973,0.014886383,Q1 1973
4/1/1973,0.005952053,Q2 1973
7/1/1973,0.006188413,Q3 1973
10/1/1973,0.003690654,Q4 1973
1/1/1974,0.006914462,Q1 1974
4/1/1974,0.002001998,Q2 1974
7/1/1974,0.00474786,Q3 1974
10/1/1974,0.003318996,Q4 1974
1/1/1975,0.004110978,Q1 1975
4/1/1975,0.003925125,Q2 1975
7/1/1975,0.011159603,Q3 1975
10/1/1975,0.002502428,Q4 1975
1/1/1976,0.00677205,Q1 1976
4/1/1976,0.007447752,Q2 1976
7/1/1976,0.006096282,Q3 1976
10/1/1976,0.00864028,Q4 1976
1/1/1977,0.007705495,Q1 1977
4/1/1977,0.006411751,Q2 1977
7/1/1977,0.008278102,Q3 1977
10/1/1977,0.008941972,Q4 1977
1/1/1978,0.008282544,Q1 1978
4/1/1978,0.007289434,Q2 1978
7/1/1978,0.008040001,Q3 1978
10/1/1978,0.006890392,Q4 1978
1/1/1979,0.0058524,Q1 1979
4/1/1979,0.00536764,Q2 1979
7/1/1979,0.002875004,Q3 1979
10/1/1979,0.004901066,Q4 1979
1/1/1980,0.004065922,Q1 1980
4/1/1980,0.004829578,Q2 1980
7/1/1980,0.002392253,Q3 1980
10/1/1980,0.006653174,Q4 1980
1/1/1981,0.005552757,Q1 1981
4/1/1981,0.004572905,Q2 1981
7/1/1981,0.004970587,Q3 1981
10/1/1981,0.007670599,Q4 1981
1/1/1982,0.004143751,Q1 1982
4/1/1982,0.003440368,Q2 1982
7/1/1982,0.004272159,Q3 1982
10/1/1982,0.004776159,Q4 1982
1/1/1983,0.005657146,Q1 1983
4/1/1983,0.005568413,Q2 1983
7/1/1983,0.008371305,Q3 1983
10/1/1983,0.008667827,Q4 1983
1/1/1984,0.008689781,Q1 1984
4/1/1984,0.010624711,Q2 1984
7/1/1984,0.010220805,Q3 1984
10/1/1984,0.00988839,Q4 1984
1/1/1985,0.009753869,Q1 1985
4/1/1985,0.007247139,Q2 1985
7/1/1985,0.009698173,Q3 1985
10/1/1985,0.007091445,Q4 1985
1/1/1986,0.008387807,Q1 1986
4/1/1986,0.009346071,Q2 1986
7/1/1986,0.009968277,Q3 1986
10/1/1986,0.008770104,Q4 1986
1/1/1987,0.006558021,Q1 1987
4/1/1987,0.007256237,Q2 1987
7/1/1987,0.00650478,Q3 1987
10/1/1987,0.009269682,Q4 1987
1/1/1988,0.008647248,Q1 1988
4/1/1988,0.009663388,Q2 1988
7/1/1988,0.008232113,Q3 1988
10/1/1988,0.008773558,Q4 1988
1/1/1989,0.009171458,Q1 1989
4/1/1989,0.009185798,Q2 1989
7/1/1989,0.007372495,Q3 1989
10/1/1989,0.00820502,Q4 1989
1/1/1990,0.008288332,Q1 1990
4/1/1990,0.008939947,Q2 1990
7/1/1990,0.008234675,Q3 1990
10/1/1990,0.005116819,Q4 1990
1/1/1991,0.002650325,Q1 1991
4/1/1991,0.003435149,Q2 1991
7/1/1991,0.008361587,Q3 1991
10/1/1991,0.007161567,Q4 1991
1/1/1992,0.005768133,Q1 1992
4/1/1992,0.007233473,Q2 1992
7/1/1992,0.006245,Q3 1992
10/1/1992,0.005753873,Q4 1992
1/1/1993,0.006561859,Q1 1993
4/1/1993,0.00632415,Q2 1993
7/1/1993,0.005946635,Q3 1993
10/1/1993,0.004989197,Q4 1993
1/1/1994,0.007093826,Q1 1994
4/1/1994,0.006865925,Q2 1994
7/1/1994,0.008162155,Q3 1994
10/1/1994,0.008039685,Q4 1994
1/1/1995,0.008988792,Q1 1995
4/1/1995,0.008401742,Q2 1995
7/1/1995,0.007386755,Q3 1995
10/1/1995,0.008492618,Q4 1995
1/1/1996,0.006867437,Q1 1996
4/1/1996,0.008473809,Q2 1996
7/1/1996,0.007905585,Q3 1996
10/1/1996,0.007978977,Q4 1996
1/1/1997,0.009085171,Q1 1997
4/1/1997,0.008799162,Q2 1997
7/1/1997,0.009940889,Q3 1997
10/1/1997,0.010130431,Q4 1997
1/1/1998,0.010731205,Q1 1998
4/1/1998,0.010682008,Q2 1998
7/1/1998,0.010438573,Q3 1998
10/1/1998,0.009415033,Q4 1998
1/1/1999,0.009754892,Q1 1999
4/1/1999,0.009672167,Q2 1999
7/1/1999,0.009002493,Q3 1999
10/1/1999,0.01023562,Q4 1999
1/1/2000,0.010814151,Q1 2000
4/1/2000,0.010899954,Q2 2000
7/1/2000,0.011474673,Q3 2000
10/1/2000,0.01066149,Q4 2000
1/1/2001,0.009402023,Q1 2001
4/1/2001,0.008490944,Q2 2001
7/1/2001,0.006830912,Q3 2001
10/1/2001,0.008869447,Q4 2001
1/1/2002,0.004254784,Q1 2002
4/1/2002,0.010664463,Q2 2002
7/1/2002,0.008834813,Q3 2002
10/1/2002,0.006439086,Q4 2002
1/1/2003,0.006826189,Q1 2003
4/1/2003,0.005702332,Q2 2003
7/1/2003,0.00894078,Q3 2003
10/1/2003,0.008652504,Q4 2003
1/1/2004,0.008017346,Q1 2004
4/1/2004,0.008871259,Q2 2004
7/1/2004,0.008395561,Q3 2004
10/1/2004,0.007910826,Q4 2004
1/1/2005,0.008781577,Q1 2005
4/1/2005,0.006673845,Q2 2005
7/1/2005,0.007809181,Q3 2005
10/1/2005,0.006760807,Q4 2005
1/1/2006,0.006787027,Q1 2006
4/1/2006,0.009595916,Q2 2006
7/1/2006,0.006175427,Q3 2006
10/1/2006,0.005886658,Q4 2006
1/1/2007,0.00852966,Q1 2007
4/1/2007,0.008858391,Q2 2007
7/1/2007,0.007057329,Q3 2007
10/1/2007,0.006815703,Q4 2007
1/1/2008,0.00564897,Q1 2008
4/1/2008,0.005561877,Q2 2008
7/1/2008,0.009621597,Q3 2008
10/1/2008,-0.002135822,Q4 2008
1/1/2009,0.003682686,Q1 2009
4/1/2009,0.003711611,Q2 2009
7/1/2009,0.006457114,Q3 2009
10/1/2009,0.002480311,Q4 2009
1/1/2010,0.0047881,Q1 2010
4/1/2010,0.006503396,Q2 2010
7/1/2010,0.005791708,Q3 2010
10/1/2010,0.004493289,Q4 2010
1/1/2011,0.00440698,Q1 2011
4/1/2011,0.005144974,Q2 2011
7/1/2011,0.004745621,Q3 2011
10/1/2011,0.001887708,Q4 2011
1/1/2012,0.003076047,Q1 2012
4/1/2012,0.00526094,Q2 2012
7/1/2012,0.004542269,Q3 2012
10/1/2012,0.003458995,Q4 2012
1/1/2013,0.007304645,Q1 2013
4/1/2013,0.000259483,Q2 2013
7/1/2013,0.006331983,Q3 2013
10/1/2013,0.005973939,Q4 2013
1/1/2014,0.004638285,Q1 2014
4/1/2014,0.006900961,Q2 2014
7/1/2014,0.007086456,Q3 2014
10/1/2014,0.006898693,Q4 2014
1/1/2015,0.007620836,Q1 2015
4/1/2015,0.008801197,Q2 2015
7/1/2015,0.00737304,Q3 2015
10/1/2015,0.00692693,Q4 2015
1/1/2016,0.007311169,Q1 2016
4/1/2016,0.006699368,Q2 2016
7/1/2016,0.006676271,Q3 2016
10/1/2016,0.007518669,Q4 2016
1/1/2017,0.007459424,Q1 2017
4/1/2017,0.008305303,Q2 2017
7/1/2017,0.008047206,Q3 2017
10/1/2017,0.00820468,Q4 2017
1/1/2018,0.009076979,Q1 2018
4/1/2018,0.00931413,Q2 2018
7/1/2018,0.00882588,Q3 2018
10/1/2018,0.008895433,Q4 2018
1/1/2019,0.009123643,Q1 2019
4/1/2019,0.009126416,Q2 2019
7/1/2019,0.007862161,Q3 2019
10/1/2019,0.008019719,Q4 2019
1/1/2020,0.008485154,Q1 2020
4/1/2020,0.008447152,Q2 2020
7/1/2020,0.041854221,Q3 2020
10/1/2020,-0.008277459,Q4 2020
1/1/2021,-0.005216935,Q1 2021
4/1/2021,0.0321722,Q2 2021
7/1/2021,-0.005536911,Q3 2021
10/1/2021,-0.003337733,Q4 2021
1/1/2022,-0.000880858,Q1 2022
4/1/2022,-0.003131972,Q2 2022
7/1/2022,-0.000387157,Q3 2022
10/1/2022,0.002709607,Q4 2022
1/1/2023,0.003002823,Q1 2023
4/1/2023,0.006139657,Q2 2023
7/1/2023,0.003427193,Q3 2023
10/1/2023,0.004302525,Q4 2023
1/1/2024,0.004335907,Q1 2024
4/1/2024,0.006925742,Q2 2024
7/1/2024,0.004884217,Q3 2024
10/1/2024,0.004950001,Q4 2024
1/1/2025,0.004792184,Q1 2025
4/1/2025,0.003594517,Q2 2025
7/1/2025,0.002966525,Q3 2025
